course_id;course_title;url;is_paid;price;num_subscribers;num_reviews;num_lectures;level;content_duration;published_timestamp;subject
1070968;Ultimate Investment Banking Course;https://www.udemy.com/ultimate-investment-banking-course/;True;200;2147;23;51;All Levels;1.5;2017-01-18T20:58:58Z;Business Finance
1113822;Complete GST Course & Certification - Grow Your CA Practice;https://www.udemy.com/goods-and-services-tax/;True;75;2792;923;274;All Levels;39.0;2017-03-09T16:34:20Z;Business Finance
1006314;Financial Modeling for Business Analysts and Consultants;https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/;True;45;2174;74;51;Intermediate Level;2.5;2016-12-19T19:26:30Z;Business Finance
1210588;Beginner to Pro - Financial Analysis in Excel 2017;https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/;True;95;2451;11;36;All Levels;3.0;2017-05-30T20:07:24Z;Business Finance
1011058;How To Maximize Your Profits Trading Options;https://www.udemy.com/how-to-maximize-your-profits-trading-options/;True;200;1276;45;26;Intermediate Level;2.0;2016-12-13T14:57:18Z;Business Finance
192870;Trading Penny Stocks: A Guide for All Levels In 2017;https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/;True;150;9221;138;25;All Levels;3.0;2014-05-02T15:13:30Z;Business Finance
739964;Investing And Trading For Beginners: Mastering Price Charts;https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/;True;65;1540;178;26;Beginner Level;1.0;2016-02-21T18:23:12Z;Business Finance
403100;Trading Stock Chart Patterns For Immediate, Explosive Gains;https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/;True;95;2917;148;23;All Levels;2.5;2015-01-30T22:13:03Z;Business Finance
476268;Options Trading 3 : Advanced Stock Profit and Success Method;https://www.udemy.com/day-trading-stock-options-3/;True;195;5172;34;38;Expert Level;2.5;2015-05-28T00:14:03Z;Business Finance
1167710;The Only Investment Strategy You Need For Your Retirement;https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/;True;200;827;14;15;All Levels;1.0;2017-04-18T18:13:32Z;Business Finance
592338;Forex Trading Secrets of the Pros With Amazon's AWS;https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/;True;200;4284;93;76;All Levels;5.0;2015-09-11T16:47:02Z;Business Finance
975046;Trading Options With Money Flow;https://www.udemy.com/trading-options-using-money-flow/;True;200;1380;42;17;All Levels;1.0;2016-10-18T22:52:31Z;Business Finance
742602;Financial Management Risk and Return For Securities;https://www.udemy.com/risk-and-return-finance/;True;30;3607;21;19;All Levels;1.5;2016-02-03T18:04:01Z;Business Finance
794151;Forex Trading Course: Work Smarter Not Harder Proven Results;https://www.udemy.com/the-complete-trading-course/;True;195;4061;52;16;All Levels;2.0;2016-03-16T15:40:19Z;Business Finance
1196544;Python Algo Trading: Sentiment Trading with News;https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/;True;200;294;19;42;All Levels;7.0;2017-04-28T16:41:44Z;Business Finance
504036;Short Selling: Learn To Sell Stocks Before The Fall;https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/;True;75;2276;106;19;Intermediate Level;1.5;2015-06-22T21:18:35Z;Business Finance
719698;Basic Technical Analysis: Learn the structure of the market;https://www.udemy.com/learn-basic-technical-analysis/;True;20;4919;79;16;Beginner Level;1.5;2016-01-08T17:21:26Z;Business Finance
